Event	ID	Name			Wwise Object Path	Notes
	1346240278	Play_MainMusic			\MUSIC_EVENTS\Play_MainMusic	

State Group	ID	Name			Wwise Object Path	Notes
	3351207106	STATES_MainMusic			\STATES_MUSIC\STATES_MainMusic	

State	ID	Name	State Group			Notes
	74257514	CoreGame_130BPM	STATES_MainMusic			
	181369000	CoreGame_110BPM	STATES_MainMusic			
	748895195	None	STATES_MainMusic			
	3290135791	Transition_110_to_120	STATES_MainMusic			
	3507987323	CoreGame_120BPM	STATES_MainMusic			
	3604647259	MainMenu	STATES_MainMusic			
	3966194980	Ending	STATES_MainMusic			
	4031559303	Transition_120_to_130	STATES_MainMusic			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	7470295	INTRO_SYNTHS_110_BPM	D:\_Documents\Workspace\Unity Projects\ENJAM2020\EnjamWwiseProject\.cache\Windows\SFX\INTRO_SYNTHS_110_BPM_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\MainMusic\CoreGame_110BPM\Intro\INTRO_SYNTHS_110_BPM		0
	40318657	SFX	D:\_Documents\Workspace\Unity Projects\ENJAM2020\EnjamWwiseProject\.cache\Windows\SFX\TRANSI 2-_3_SFX_120_BPM_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\Transitions\Transition_02\SFX		0
	72692572	MUSIC MENU V1 (loopable)	D:\_Documents\Workspace\Unity Projects\ENJAM2020\EnjamWwiseProject\.cache\Windows\SFX\MUSIC MENU V1 (loopable)_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\MainMusic\MainMenu\MUSIC MENU V1 (loopable)\MUSIC MENU V1 (loopable)		0
	115487499	REVERB	D:\_Documents\Workspace\Unity Projects\ENJAM2020\EnjamWwiseProject\.cache\Windows\SFX\PART 3_130 BPM_REVERB_130_BPM_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\MainMusic\CoreGame_130BPM\CoreGame\REVERB		0
	171899830	SYNTHS	D:\_Documents\Workspace\Unity Projects\ENJAM2020\EnjamWwiseProject\.cache\Windows\SFX\PART 2_120 BPM_SYNTHS_120_BPM_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\MainMusic\CoreGame_120BPM\CoreGame\SYNTHS		0
	215837024	DRUMS	D:\_Documents\Workspace\Unity Projects\ENJAM2020\EnjamWwiseProject\.cache\Windows\SFX\PART 2_120 BPM_DRUMS_120_BPM_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\MainMusic\CoreGame_120BPM\CoreGame\DRUMS		0
	263691573	REVERB	D:\_Documents\Workspace\Unity Projects\ENJAM2020\EnjamWwiseProject\.cache\Windows\SFX\PART 1_110 BPM_REVERB_110_BPM_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\MainMusic\CoreGame_110BPM\CoreGame\REVERB		0
	266373156	SFX	D:\_Documents\Workspace\Unity Projects\ENJAM2020\EnjamWwiseProject\.cache\Windows\SFX\PART 2_120 BPM_SFX_120_BPM_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\MainMusic\CoreGame_120BPM\CoreGame\SFX		0
	294080841	DRUMS	D:\_Documents\Workspace\Unity Projects\ENJAM2020\EnjamWwiseProject\.cache\Windows\SFX\PART 3_130 BPM_DRUMS_130_BPM_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\MainMusic\CoreGame_130BPM\CoreGame\DRUMS		0
	397518380	REVERB	D:\_Documents\Workspace\Unity Projects\ENJAM2020\EnjamWwiseProject\.cache\Windows\SFX\TRANSI 2-_3_REVERB_120_BPM_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\Transitions\Transition_02\REVERB		0
	439985613	SFX	D:\_Documents\Workspace\Unity Projects\ENJAM2020\EnjamWwiseProject\.cache\Windows\SFX\TRANSI 1-_2_SFX_110_BPM_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\Transitions\Transition_01\SFX		0
	488727423	REVERB	D:\_Documents\Workspace\Unity Projects\ENJAM2020\EnjamWwiseProject\.cache\Windows\SFX\TRANSI 1-_2_REVERB_110_BPM_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\Transitions\Transition_01\REVERB		0
	622805696	REVERB	D:\_Documents\Workspace\Unity Projects\ENJAM2020\EnjamWwiseProject\.cache\Windows\SFX\PART 2_120 BPM_REVERB_120_BPM_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\MainMusic\CoreGame_120BPM\CoreGame\REVERB		0
	683343922	INTRO_DRUMS_110_BPM	D:\_Documents\Workspace\Unity Projects\ENJAM2020\EnjamWwiseProject\.cache\Windows\SFX\INTRO_DRUMS_110_BPM_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\MainMusic\CoreGame_110BPM\Intro\INTRO_DRUMS_110_BPM		0
	689115816	DRUMS	D:\_Documents\Workspace\Unity Projects\ENJAM2020\EnjamWwiseProject\.cache\Windows\SFX\TRANSI 1-_2_DRUMS_110_BPM_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\Transitions\Transition_01\DRUMS		0
	747124770	ENDING MUSIC 110 BPM	D:\_Documents\Workspace\Unity Projects\ENJAM2020\EnjamWwiseProject\.cache\Windows\SFX\ENDING MUSIC 110 BPM_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\MainMusic\Ending\MUSIC SHREK BONUS FIN\ENDING MUSIC 110 BPM		0
	788133717	SFX	D:\_Documents\Workspace\Unity Projects\ENJAM2020\EnjamWwiseProject\.cache\Windows\SFX\PART 1_110 BPM_SFX_110_BPM_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\MainMusic\CoreGame_110BPM\CoreGame\SFX		0
	792570784	INTRO_SFX_110_BPM	D:\_Documents\Workspace\Unity Projects\ENJAM2020\EnjamWwiseProject\.cache\Windows\SFX\INTRO_SFX_110_BPM_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\MainMusic\CoreGame_110BPM\Intro\INTRO_SFX_110_BPM		0
	866071380	DRUMS	D:\_Documents\Workspace\Unity Projects\ENJAM2020\EnjamWwiseProject\.cache\Windows\SFX\PART 1_110 BPM_DRUMS_110_BPM_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\MainMusic\CoreGame_110BPM\CoreGame\DRUMS		0
	870977321	INTRO_REVERB_110_BPM	D:\_Documents\Workspace\Unity Projects\ENJAM2020\EnjamWwiseProject\.cache\Windows\SFX\INTRO_REVERB_110_BPM_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\MainMusic\CoreGame_110BPM\Intro\INTRO_REVERB_110_BPM		0
	898462479	SFX	D:\_Documents\Workspace\Unity Projects\ENJAM2020\EnjamWwiseProject\.cache\Windows\SFX\PART 3_130 BPM_SFX_130_BPM_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\MainMusic\CoreGame_130BPM\CoreGame\SFX		0
	917046528	SYNTHS	D:\_Documents\Workspace\Unity Projects\ENJAM2020\EnjamWwiseProject\.cache\Windows\SFX\PART 1_110 BPM_SYNTHS_110_BPM_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\MainMusic\CoreGame_110BPM\CoreGame\SYNTHS		0
	949757452	DRUMS	D:\_Documents\Workspace\Unity Projects\ENJAM2020\EnjamWwiseProject\.cache\Windows\SFX\TRANSI 2-_3_DRUMS_120_BPM_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\Transitions\Transition_02\DRUMS		0
	1009705841	SYNTHS	D:\_Documents\Workspace\Unity Projects\ENJAM2020\EnjamWwiseProject\.cache\Windows\SFX\PART 3_130 BPM_SYNTHS_130_BPM_073B4D0C.wem		\Interactive Music Hierarchy\Default Work Unit\MainMusic\CoreGame_130BPM\CoreGame\SYNTHS		0

